Frame Count
	50mm	100mm	150mm	200mm	250mm	300mm	350mm	400mm	450mm	500mm	550mm	600mm	650mm	700mm	750mm	800mm	850mm	900mm	950mm	1000mm	1050mm	1100mm	1150mm	1200mm	1250mm	1300mm	1350mm	1400mm	1450mm	1500mm	
Edge N	1795	7628	1230	658	894	559	821	465	1667	1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge W	6724	1347	1085	364	380	474	1334	3681	1372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge S	1044	1667	465	821	559	894	658	1230	7628	1795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge E	1298	3719	1363	459	397	353	1083	1323	6766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge ALL	9776	5012	1677	250	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

Time Count (sec)
	50mm	100mm	150mm	200mm	250mm	300mm	350mm	400mm	450mm	500mm	550mm	600mm	650mm	700mm	750mm	800mm	850mm	900mm	950mm	1000mm	1050mm	1100mm	1150mm	1200mm	1250mm	1300mm	1350mm	1400mm	1450mm	1500mm	
Edge N	60.1203	255.486	41.1967	22.0385	29.9429	18.7227	27.4979	15.5743	55.8332	34.9669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge W	225.208	45.1154	36.3401	12.1915	12.7274	15.8758	44.68	123.289	45.9527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge S	34.9669	55.8332	15.5743	27.4979	18.7227	29.9429	22.0385	41.1967	255.486	60.1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge E	43.4742	124.561	45.6513	15.3734	13.2968	11.8231	36.2732	44.3115	226.615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge ALL	327.43	167.868	56.1681	8.37331	1.54069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

Frequency (Zone Detections/Total Detections)
	50mm	100mm	150mm	200mm	250mm	300mm	350mm	400mm	450mm	500mm	550mm	600mm	650mm	700mm	750mm	800mm	850mm	900mm	950mm	1000mm	1050mm	1100mm	1150mm	1200mm	1250mm	1300mm	1350mm	1400mm	1450mm	1500mm	
Edge N	0.107094	0.455104	0.0733846	0.0392578	0.0533381	0.0333512	0.0489828	0.027743	0.0994571	0.0622875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge W	0.401169	0.0803651	0.0647336	0.0217171	0.0226717	0.0282799	0.0795895	0.219617	0.0818567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge S	0.0622875	0.0994571	0.027743	0.0489828	0.0333512	0.0533381	0.0392578	0.0733846	0.455104	0.107094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge E	0.0774417	0.221884	0.0813197	0.027385	0.0236859	0.0210608	0.0646143	0.0789332	0.403675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge ALL	0.583259	0.299028	0.100054	0.0149156	0.00274447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

