Frame Count
	50mm	100mm	150mm	200mm	250mm	300mm	350mm	400mm	450mm	500mm	
50mm	390	98	107	46	136	60	70	812	76	0	
100mm	3893	287	158	34	47	142	471	1782	814	0	
150mm	497	31	98	43	48	150	53	194	116	0	
200mm	161	118	174	47	28	31	33	28	38	0	
250mm	75	170	181	81	16	2	327	4	38	0	
300mm	142	72	44	19	29	19	185	15	34	0	
350mm	506	38	45	4	17	3	128	50	30	0	
400mm	73	54	84	16	19	20	0	165	34	0	
450mm	396	313	153	56	40	47	59	443	160	0	
500mm	591	166	41	18	0	0	8	188	32	0	

Time Count (sec)
	50mm	100mm	150mm	200mm	250mm	300mm	350mm	400mm	450mm	500mm	
50mm	13.0624	3.28234	3.58377	1.54069	4.55508	2.00959	2.34453	27.1965	2.54549	0	
100mm	130.389	9.61255	5.29193	1.13877	1.57418	4.75604	15.7753	59.6849	27.2635	0	
150mm	16.6461	1.03829	3.28234	1.44021	1.60767	5.02398	1.77514	6.49768	3.88521	0	
200mm	5.39241	3.9522	5.82782	1.57418	0.93781	1.03829	1.10528	0.93781	1.27274	0	
250mm	2.51199	5.69385	6.06227	2.71295	0.535892	0.0669864	10.9523	0.133973	1.27274	0	
300mm	4.75604	2.41151	1.4737	0.636371	0.971303	0.636371	6.19625	0.502398	1.13877	0	
350mm	16.9476	1.27274	1.50719	0.133973	0.569385	0.10048	4.28713	1.67466	1.0048	0	
400mm	2.44501	1.80863	2.81343	0.535892	0.636371	0.669864	0	5.52638	1.13877	0	
450mm	13.2633	10.4834	5.12446	1.87562	1.33973	1.57418	1.9761	14.8375	5.35892	0	
500mm	19.7945	5.55988	1.37322	0.602878	0	0	0.267946	6.29673	1.07178	0	

Frequency (Zone Detections/Total Detections)
	50mm	100mm	150mm	200mm	250mm	300mm	350mm	400mm	450mm	500mm	
50mm	0.0232683	0.00584691	0.00638387	0.00274447	0.00811407	0.00357974	0.00417636	0.0484458	0.00453434	0	
100mm	0.232265	0.0171231	0.00942665	0.00202852	0.00280413	0.00847205	0.0281009	0.106318	0.0485651	0	
150mm	0.0296522	0.00184953	0.00584691	0.00256548	0.00286379	0.00894935	0.0031621	0.0115745	0.00692083	0	
200mm	0.00960563	0.00704015	0.0103812	0.00280413	0.00167054	0.00184953	0.00196886	0.00167054	0.00226717	0	
250mm	0.00447467	0.0101426	0.0107989	0.00483265	0.000954597	0.000119325	0.0195096	0.000238649	0.00226717	0	
300mm	0.00847205	0.00429569	0.00262514	0.00113358	0.00173021	0.00113358	0.0110375	0.000894935	0.00202852	0	
350mm	0.0301891	0.00226717	0.0026848	0.000238649	0.00101426	0.000178987	0.00763678	0.00298312	0.00178987	0	
400mm	0.00435535	0.00322176	0.00501163	0.000954597	0.00113358	0.00119325	0	0.00984428	0.00202852	0	
450mm	0.0236263	0.0186743	0.00912833	0.00334109	0.00238649	0.00280413	0.00352008	0.0264304	0.00954597	0	
500mm	0.0352604	0.00990394	0.00244615	0.00107392	0	0	0.000477298	0.0112165	0.00190919	0	

