Time (sec)	Arena	Track	Current Accel (mm/s^2)	
12.6604	1	1	210.185	
12.6939	1	1	229.129	
12.7274	1	1	234.005	
12.7609	1	1	231.023	
12.7944	1	1	211.705	
12.8279	1	1	183.502	
12.8614	1	1	158.595	
12.8949	1	1	141.137	
12.9284	1	1	115.553	
12.9619	1	1	92.318	
12.9954	1	1	71.4088	
13.0289	1	1	35.2352	
13.0624	1	1	0.871956	
13.0958	1	1	18.7891	
13.1293	1	1	32.2136	
13.1628	1	1	35.5351	
13.1963	1	1	29.6347	
13.2298	1	1	28.3915	
13.2633	1	1	28.0791	
13.2968	1	1	29.5693	
13.3303	1	1	30.9216	
13.3638	1	1	34.1188	
13.3973	1	1	32.5055	
13.4308	1	1	22.4635	
13.4643	1	1	16.7649	
13.4978	1	1	20.8945	
13.5313	1	1	18.3658	
13.5648	1	1	23.6766	
13.5982	1	1	27.4683	
13.6317	1	1	32.1324	
13.6652	1	1	41.0853	
13.6987	1	1	46.8525	
13.7322	1	1	52.3457	
13.7657	1	1	53.7295	
13.7992	1	1	61.7522	
13.8327	1	1	57.7089	
13.8662	1	1	54.6182	
13.8997	1	1	33.0777	
13.9332	1	1	25.3943	
13.9667	1	1	2.4798	
14.0002	1	1	26.2337	
14.0337	1	1	37.6725	
14.0672	1	1	41.8387	
14.1006	1	1	19.2822	
14.1341	1	1	16.3151	
14.1676	1	1	57.2296	
14.2011	1	1	92.6333	
14.2346	1	1	115.131	
14.2681	1	1	121.015	
14.3016	1	1	130.14	
14.3351	1	1	152.104	
14.3686	1	1	178.179	
14.4021	1	1	202.425	
14.4356	1	1	211.495	
14.4691	1	1	194.931	
14.5026	1	1	142.768	
14.5361	1	1	72.2481	
14.5696	1	1	7.56104	
14.603	1	1	68.9903	
14.6365	1	1	98.7462	
14.67	1	1	105.876	
14.7035	1	1	105.159	
14.737	1	1	136.632	
14.7705	1	1	146.371	
14.804	1	1	146.781	
14.8375	1	1	139.826	
14.871	1	1	115.283	
14.9045	1	1	85.19	
14.938	1	1	61.8487	
14.9715	1	1	24.036	
15.005	1	1	8.61421	
15.0385	1	1	16.5837	
15.0719	1	1	36.8631	
15.1054	1	1	49.267	
15.1389	1	1	51.8888	
15.1724	1	1	58.8954	
15.2059	1	1	58.7327	
15.2394	1	1	46.1401	
15.2729	1	1	43.0931	
15.3064	1	1	35.2331	
15.3399	1	1	28.9234	
15.3734	1	1	27.7932	
15.4069	1	1	19.7896	
15.4404	1	1	13.2921	
15.4739	1	1	4.47007	
15.5074	1	1	6.67305	
15.5409	1	1	35.1098	
15.5743	1	1	66.5153	
15.6078	1	1	96.4126	
15.6413	1	1	92.9311	
15.6748	1	1	92.0892	
15.7083	1	1	106.962	
