Time (sec)	Arena	Track	Current Speed (mm/sec)	
12.4595	1	1	97.1742
12.493	1	1	100.212
12.5265	1	1	99.7237
12.56	1	1	98.2268
12.5935	1	1	91.5936
12.6269	1	1	80.594
12.6604	1	1	69.7946
12.6939	1	1	61.2993
12.7274	1	1	50.4209
12.7609	1	1	39.7668
12.7944	1	1	30.8301
12.8279	1	1	21.5607
12.8614	1	1	12.6969
12.8949	1	1	8.1211
12.9284	1	1	5.67292
12.9619	1	1	5.374
12.9954	1	1	6.5052
13.0289	1	1	6.8413
13.0624	1	1	6.05249
13.0958	1	1	4.57391
13.1293	1	1	3.97774
13.1628	1	1	2.66245
13.1963	1	1	2.12958
13.2298	1	1	7.39899
13.2633	1	1	12.3465
13.2968	1	1	15.6728
13.3303	1	1	18.6202
13.3638	1	1	19.6562
13.3973	1	1	18.4159
13.4308	1	1	18.2524
13.4643	1	1	17.338
13.4978	1	1	16.4584
13.5313	1	1	16.4057
13.5648	1	1	16.3754
13.5982	1	1	15.1941
13.6317	1	1	16.4275
13.6652	1	1	19.0846
13.6987	1	1	24.0707
13.7322	1	1	26.0017
13.7657	1	1	29.1723
13.7992	1	1	29.456
13.8327	1	1	31.167
13.8662	1	1	33.851
13.8997	1	1	35.2893
13.9332	1	1	37.4444
13.9667	1	1	37.9703
14.0002	1	1	40.0135
14.0337	1	1	39.6218
14.0672	1	1	41.0367
14.1006	1	1	37.3652
14.1341	1	1	36.2082
14.1676	1	1	28.1756
14.2011	1	1	18.9121
14.2346	1	1	16.0257
14.2681	1	1	17.0352
14.3016	1	1	27.5394
14.3351	1	1	44.0017
14.3686	1	1	60.9719
14.4021	1	1	77.2446
14.4356	1	1	85.895
14.4691	1	1	89.675
14.5026	1	1	89.6707
14.5361	1	1	97.3416
14.5696	1	1	99.7893
14.603	1	1	100.27
14.6365	1	1	101.03
14.67	1	1	95.3817
14.7035	1	1	84.9206
14.737	1	1	73.0396
14.7705	1	1	57.933
14.804	1	1	49.5161
14.8375	1	1	46.2071
14.871	1	1	47.1213
14.9045	1	1	47.4055
14.938	1	1	42.4264
14.9715	1	1	40.9603
15.005	1	1	41.2766
15.0385	1	1	44.8309
15.0719	1	1	49.0473
15.1054	1	1	50.6811
15.1389	1	1	48.1814
15.1724	1	1	48.2725
15.2059	1	1	46.0539
15.2394	1	1	39.5418
15.2729	1	1	32.3053
15.3064	1	1	27.6042
15.3399	1	1	21.5713
15.3734	1	1	17.2891
15.4069	1	1	17.6708
15.4404	1	1	26.2864
15.4739	1	1	31.7274
15.5074	1	1	36.5203
15.5409	1	1	36.5565
15.5743	1	1	37.1019
15.6078	1	1	38.1001
15.6413	1	1	34.1994
15.6748	1	1	30.5087
15.7083	1	1	30.2862
15.7418	1	1	35.6826
15.7753	1	1	44.0229
15.8088	1	1	56.4208
15.8423	1	1	63.6372
15.8758	1	1	68.7397
15.9093	1	1	79.5102
15.9428	1	1	91.3937
15.9763	1	1	100.817
16.0098	1	1	110.893
16.0433	1	1	119.033
16.0767	1	1	124.889
16.1102	1	1	126.076
16.1437	1	1	123.12
16.1772	1	1	117.034
16.2107	1	1	111.332
16.2442	1	1	107.419
16.2777	1	1	102.402
16.3112	1	1	92.4613
16.3447	1	1	77.9357
16.3782	1	1	66.3182
16.4117	1	1	51.0435
16.4452	1	1	35.9224
16.4787	1	1	19.5295
16.5122	1	1	6.28013
16.5457	1	1	8.3011
16.5791	1	1	14.8555
16.6126	1	1	20.6591
16.6461	1	1	26.3466
16.6796	1	1	36.2763
16.7131	1	1	50.7769
16.7466	1	1	65.0182
16.7801	1	1	77.2921
16.8136	1	1	85.031
16.8471	1	1	88.006
16.8806	1	1	84.8291
16.9141	1	1	82.9112
16.9476	1	1	81.694
16.9811	1	1	81.067
17.0146	1	1	79.9393
17.048	1	1	77.9557
17.0815	1	1	73.4259
17.115	1	1	70.5575
17.1485	1	1	80.0856
17.182	1	1	96.583
17.2155	1	1	119.611
17.249	1	1	135.368
17.2825	1	1	151.574
17.316	1	1	161.595
17.3495	1	1	169.98
17.383	1	1	181.722
17.4165	1	1	190.563
17.45	1	1	195.893
17.4835	1	1	204.299
17.517	1	1	198.786
17.5504	1	1	187.32
17.5839	1	1	175.621
17.6174	1	1	158.792
17.6509	1	1	144.17
17.6844	1	1	126.662
17.7179	1	1	117.111
17.7514	1	1	109.722
17.7849	1	1	94.7449
17.8184	1	1	79.356
17.8519	1	1	68.5735
17.8854	1	1	54.3598
17.9189	1	1	44.0733
17.9524	1	1	39.4457
17.9859	1	1	40.9741
18.0194	1	1	45.1278
18.0528	1	1	48.3733
18.0863	1	1	49.6409
18.1198	1	1	50.013
18.1533	1	1	51.099
18.1868	1	1	53.1696
18.2203	1	1	57.2954
18.2538	1	1	59.894
18.2873	1	1	64.8064
18.3208	1	1	71.1527
18.3543	1	1	79.3998
18.3878	1	1	85.902
18.4213	1	1	93.8971
18.4548	1	1	100.093
18.4883	1	1	106.801
18.5218	1	1	108.764
18.5552	1	1	110.135
18.5887	1	1	116.652
18.6222	1	1	123.344
18.6557	1	1	126.818
18.6892	1	1	129.016
18.7227	1	1	130.701
18.7562	1	1	128.45
18.7897	1	1	119.852
18.8232	1	1	108.264
18.8567	1	1	97.2553
18.8902	1	1	86.1025
18.9237	1	1	78.4503
18.9572	1	1	71.0798
18.9907	1	1	60.9376
19.0241	1	1	47.438
19.0576	1	1	32.568
19.0911	1	1	14.5394
19.1246	1	1	9.36537
19.1581	1	1	17.6685
19.1916	1	1	19.8145
19.2251	1	1	21.7317
19.2586	1	1	22.8246
19.2921	1	1	20.9495
19.3256	1	1	18.0855
19.3591	1	1	19.4313
19.3926	1	1	22.2887
19.4261	1	1	24.6479
19.4596	1	1	22.0303
19.4931	1	1	13.7848
19.5265	1	1	9.76125
19.56	1	1	6.92684
19.5935	1	1	4.04458
19.627	1	1	4.61664
19.6605	1	1	5.4321
19.694	1	1	6.40377
19.7275	1	1	5.10601
19.761	1	1	3.91112
19.7945	1	1	4.4175
19.828	1	1	4.63436
19.8615	1	1	3.34246
19.895	1	1	2.7726
19.9285	1	1	2.47868
19.962	1	1	5.73252
19.9955	1	1	16.9464
20.0289	1	1	25.3003
20.0624	1	1	32.8908
20.0959	1	1	39.3562
20.1294	1	1	44.6138
20.1629	1	1	50.1372
20.1964	1	1	56.1688
20.2299	1	1	59.6578
20.2634	1	1	62.7404
20.2969	1	1	63.3696
20.3304	1	1	67.2078
20.3639	1	1	66.9546
20.3974	1	1	61.7547
20.4309	1	1	58.9976
20.4644	1	1	53.7067
20.4979	1	1	51.5421
20.5313	1	1	46.0723
20.5648	1	1	41.8374
20.5983	1	1	39.4451
20.6318	1	1	38.1073
20.6653	1	1	35.6225
20.6988	1	1	34.5957
20.7323	1	1	32.9853
20.7658	1	1	31.3613
20.7993	1	1	30.9675
20.8328	1	1	29.6834
20.8663	1	1	28.8092
20.8998	1	1	27.9903
20.9333	1	1	28.5237
20.9668	1	1	28.4357
21.0002	1	1	32.2659
21.0337	1	1	37.0335
21.0672	1	1	40.796
21.1007	1	1	43.6284
21.1342	1	1	44.424
21.1677	1	1	43.8173
21.2012	1	1	47.7281
21.2347	1	1	49.8924
21.2682	1	1	48.4051
21.3017	1	1	45.02
21.3352	1	1	40.2724
21.3687	1	1	31.254
21.4022	1	1	20.625
21.4357	1	1	19.2657
21.4692	1	1	26.2272
21.5026	1	1	34.389
21.5361	1	1	44.5782
21.5696	1	1	53.3711
21.6031	1	1	62.4581
21.6366	1	1	71.0813
21.6701	1	1	74.7376
21.7036	1	1	77.5271
21.7371	1	1	79.4486
21.7706	1	1	77.4633
21.8041	1	1	73.7701
21.8376	1	1	69.6392
21.8711	1	1	60.4956
21.9046	1	1	50.2778
21.9381	1	1	41.5493
21.9716	1	1	37.0933
