Time (sec)	Arena	Track	Pos. X (mm)	Pos. Y (mm)	Label
11.9906	2	1	1092.94	349.776	1
12.0241	2	1	1094.06	351.896	1
12.0576	2	1	1095.58	353.313	1
12.0911	2	1	1095.6	353.798	1
12.1245	2	1	1094.52	352.613	1
12.158	2	1	1094.04	351.947	1
12.1915	2	1	1094.06	352.482	1
12.225	2	1	1092.76	353.046	1
12.2585	2	1	1090.95	354.326	1
12.292	2	1	1089.54	354.972	1
12.3255	2	1	1088.59	355.229	1
12.359	2	1	1086.97	356.116	1
12.3925	2	1	1083.8	356.813	1
12.426	2	1	1080.86	358.489	1
12.4595	2	1	1078.1	360.116	1
12.493	2	1	1075.29	361.979	1
12.5265	2	1	1073.14	363.351	1
12.56	2	1	1070.16	363.73	1
12.5935	2	1	1067.37	364.337	1
12.6269	2	1	1065.38	365.128	1
12.6604	2	1	1063.42	365.657	1
12.6939	2	1	1062.57	364.623	1
12.7274	2	1	1063.07	363.901	1
12.7609	2	1	1064.5	363.27	1
12.7944	2	1	1069.47	362.056	1
12.8279	2	1	1073.95	361.092	1
12.8614	2	1	1077.84	361.596	1
12.8949	2	1	1078.96	362.973	1
12.9284	2	1	1078.56	364.852	1
12.9619	2	1	1078.1	367.414	1
12.9954	2	1	1076.71	370.791	1
13.0289	2	1	1073.28	376.011	1
13.0624	2	1	1070	382.566	1
13.0958	2	1	1067.91	387.374	1
13.1293	2	1	1065.72	389.739	1
13.1628	2	1	1064.4	392.534	1
13.1963	2	1	1063.7	394.847	1
13.2298	2	1	1061.15	397.368	1
13.2633	2	1	1057.15	400.011	1
13.2968	2	1	1055.64	402.077	1
13.3303	2	1	1054.33	405.113	1
13.3638	2	1	1051.86	409.604	1
13.3973	2	1	1049.84	413.355	1
13.4308	2	1	1047.76	416.198	1
13.4643	2	1	1046.48	418.546	1
13.4978	2	1	1045.88	420.391	1
13.5313	2	1	1046.01	421.01	1
13.5648	2	1	1045.89	421.892	1
13.5982	2	1	1046.15	422.225	1
13.6317	2	1	1046.35	423.484	1
13.6652	2	1	1046.75	423.053	1
13.6987	2	1	1046.36	423.826	1
13.7322	2	1	1045.2	425.996	1
13.7657	2	1	1045.25	428.468	1
13.7992	2	1	1045.72	432.791	1
13.8327	2	1	1046.1	438.947	1
13.8662	2	1	1045.81	445.259	1
13.8997	2	1	1046.18	447.373	1
13.9332	2	1	1046.5	451.611	1
13.9667	2	1	1046.73	456.121	1
14.0002	2	1	1047.08	460.794	1
14.0337	2	1	1048.36	463.236	1
14.0672	2	1	1048.77	465.912	1
14.1006	2	1	1048.85	470.325	1
14.1341	2	1	1048.94	473.692	1
14.1676	2	1	1049.35	475.388	1
14.2011	2	1	1049.48	475.198	1
14.2346	2	1	1049.21	475.284	1
14.2681	2	1	1049.14	473.858	1
14.3016	2	1	1048.8	472.339	1
14.3351	2	1	1048.38	471.195	1
14.3686	2	1	1047.98	469.908	1
14.4021	2	1	1047.43	468.141	1
14.4356	2	1	1047.03	465.271	1
14.4691	2	1	1047.07	460.583	1
14.5026	2	1	1047.28	454.353	1
14.5361	2	1	1048.4	448.858	1
14.5696	2	1	1050.4	446.034	1
14.603	2	1	1052.43	444.817	1
14.6365	2	1	1054.13	444.643	1
14.67	2	1	1056.69	445.83	1
14.7035	2	1	1059.93	447.596	1
14.737	2	1	1063.97	449.587	1
14.7705	2	1	1067.97	451.483	1
14.804	2	1	1071.19	452.93	1
14.8375	2	1	1073.29	453.717	1
14.871	2	1	1075.16	454.863	1
14.9045	2	1	1078.07	457.072	1
14.938	2	1	1079.7	459.735	1
14.9715	2	1	1080.54	461.9	1
15.005	2	1	1082.82	463.209	1
15.0385	2	1	1085.44	465.071	1
15.0719	2	1	1087.63	468.317	1
15.1054	2	1	1089.57	471.545	1
15.1389	2	1	1091.43	473.427	1
15.1724	2	1	1093.41	474.831	1
15.2059	2	1	1096.05	476.517	1
15.2394	2	1	1098.08	477.225	1
15.2729	2	1	1100.51	478.152	1
15.3064	2	1	1103	478.623	1
15.3399	2	1	1106.1	479.387	1
15.3734	2	1	1109	480.479	1
15.4069	2	1	1110.93	480.804	1
15.4404	2	1	1112.16	481.896	1
15.4739	2	1	1113.46	483.056	1
15.5074	2	1	1113.14	482.203	1
15.5409	2	1	1111.29	480.132	1
15.5743	2	1	1110.05	478.522	1
15.6078	2	1	1110.14	477.539	1
15.6413	2	1	1110.71	476.455	1
15.6748	2	1	1111.97	475.049	1
15.7083	2	1	1114.35	473.702	1
15.7418	2	1	1117.36	472.107	1
15.7753	2	1	1122.5	470.392	1
15.8088	2	1	1126.27	468.858	1
15.8423	2	1	1130.29	468.441	1
15.8758	2	1	1132.64	467.959	1
15.9093	2	1	1134.41	467.753	1
15.9428	2	1	1136.44	467.311	1
15.9763	2	1	1135.13	466.786	1
16.0098	2	1	1132.45	466.864	1
16.0433	2	1	1130.83	467.778	1
16.0767	2	1	1125.81	467.396	1
16.1102	2	1	1118.68	466.82	1
16.1437	2	1	1110.56	466.58	1
16.1772	2	1	1102.96	466.501	1
16.2107	2	1	1096.99	465.309	1
16.2442	2	1	1094.35	464.768	1
16.2777	2	1	1094.54	464.03	1
16.3112	2	1	1095.46	462.407	1
16.3447	2	1	1097.46	459.395	1
16.3782	2	1	1099.15	455.242	1
16.4117	2	1	1101.84	450.503	1
16.4452	2	1	1105.29	446.444	1
16.4787	2	1	1109.59	442.84	1
16.5122	2	1	1112.69	440.233	1
16.5457	2	1	1114.93	436.533	1
16.5791	2	1	1116.72	432.761	1
16.6126	2	1	1119.59	429.145	1
16.6461	2	1	1123.43	425.331	1
16.6796	2	1	1125.43	422.125	1
16.7131	2	1	1126.82	418.302	1
16.7466	2	1	1128.96	413.888	1
16.7801	2	1	1131.92	407.895	1
16.8136	2	1	1135.64	401.414	1
16.8471	2	1	1138.28	397.107	1
16.8806	2	1	1139.79	394.293	1
16.9141	2	1	1140.49	392.343	1
16.9476	2	1	1140.91	390.791	1
16.9811	2	1	1142.53	388.527	1
17.0146	2	1	1144.82	385.506	1
17.048	2	1	1146.39	384.461	1
17.0815	2	1	1145.99	384.383	1
17.115	2	1	1145.59	385.334	1
17.1485	2	1	1143.17	389.042	1
17.182	2	1	1143.44	389.76	1
17.2155	2	1	1142.8	391.774	1
17.249	2	1	1142.19	392.598	1
17.2825	2	1	1141.92	392.903	1
17.316	2	1	1140.16	395.328	1
17.3495	2	1	1137.74	398.177	1
17.383	2	1	1136.11	398.159	1
17.4165	2	1	1134.06	395.236	1
17.45	2	1	1131.97	392.985	1
17.4835	2	1	1130.5	389.873	1
17.517	2	1	1129.24	385.981	1
17.5504	2	1	1127.23	383.465	1
17.5839	2	1	1126.35	380.633	1
17.6174	2	1	1125.98	375.033	1
17.6509	2	1	1125.74	368.205	1
17.6844	2	1	1124.86	360.473	1
17.7179	2	1	1124.28	354.448	1
17.7514	2	1	1123.12	350.478	1
17.7849	2	1	1121.05	348.864	1
17.8184	2	1	1118.86	346.808	1
17.8519	2	1	1115.91	345.899	1
17.8854	2	1	1115.65	344.652	1
17.9189	2	1	1115.52	342.949	1
17.9524	2	1	1115.64	339.703	1
17.9859	2	1	1114.89	335.891	1
18.0194	2	1	1113.32	329.827	1
18.0528	2	1	1112.22	323.834	1
18.0863	2	1	1110.98	320.21	1
18.1198	2	1	1109.66	317.553	1
18.1533	2	1	1108.99	315.502	1
18.1868	2	1	1108.26	313.824	1
18.2203	2	1	1108.31	313.293	1
18.2538	2	1	1108.62	313.506	1
18.2873	2	1	1108.84	312.734	1
18.3208	2	1	1109.19	313.134	1
18.3543	2	1	1110.09	313.195	1
18.3878	2	1	1110.32	316.191	1
18.4213	2	1	1107.94	320.619	1
18.4548	2	1	1106.63	324.487	1
18.4883	2	1	1106.86	326.817	1
18.5218	2	1	1105.8	328.901	1
18.5552	2	1	1103.62	330.951	1
18.5887	2	1	1102.82	331.248	1
18.6222	2	1	1102.53	332.442	1
18.6557	2	1	1102.23	330.836	1
18.6892	2	1	1103.75	330.227	1
18.7227	2	1	1107.02	330.506	1
18.7562	2	1	1110.57	330.147	1
18.7897	2	1	1114.17	329.965	1
18.8232	2	1	1119.04	329.626	1
18.8567	2	1	1126.01	329.456	1
18.8902	2	1	1133.14	330.065	1
18.9237	2	1	1140.05	329.621	1
18.9572	2	1	1150.72	327.662	1
18.9907	2	1	1153.11	324.764	1
19.0241	2	1	1152.8	322.051	1
19.0576	2	1	1155.52	319.734	1
19.0911	2	1	1160.29	319.457	1
19.1246	2	1	1166.23	319.697	1
19.1581	2	1	1171.65	319.279	1
19.1916	2	1	1177.91	318.484	1
19.2251	2	1	1186.07	317.506	1
19.2586	2	1	1191.03	316.835	1
19.2921	2	1	1194.57	316.016	1
19.3256	2	1	1199.24	314.812	1
19.3591	2	1	1202.53	314.11	1
19.3926	2	1	1205.11	313.598	1
19.4261	2	1	1209.92	313.257	1
19.4596	2	1	1212.36	310.874	1
19.4931	2	1	1213.82	309.203	1
19.5265	2	1	1216.41	307.54	1
19.56	2	1	1221.92	306.681	1
19.5935	2	1	1227.17	304.824	1
19.627	2	1	1229.7	303.034	1
19.6605	2	1	1233.51	301.328	1
19.694	2	1	1238.41	299.737	1
19.7275	2	1	1242.64	298.414	1
19.761	2	1	1245.49	297.081	1
19.7945	2	1	1248.1	295.871	1
19.828	2	1	1251.86	294.389	1
19.8615	2	1	1253.27	294.393	1
19.895	2	1	1254.62	294.137	1
19.9285	2	1	1255.27	291.832	1
19.962	2	1	1254.92	288.29	1
19.9955	2	1	1255.99	286.688	1
20.0289	2	1	1257.81	286.337	1
20.0624	2	1	1259.26	285.341	1
20.0959	2	1	1261.89	283.948	1
20.1294	2	1	1265.07	281.825	1
20.1629	2	1	1270.62	278.811	1
20.1964	2	1	1275.78	276.722	1
20.2299	2	1	1278.67	274.965	1
20.2634	2	1	1280.45	273.85	1
20.2969	2	1	1282.25	272.973	1
20.3304	2	1	1285.06	271.223	1
20.3639	2	1	1285.16	269.542	1
20.3974	2	1	1285.86	268.639	1
20.4309	2	1	1286.3	268.065	1
20.4644	2	1	1287.77	267.101	1
20.4979	2	1	1289.17	266.183	1
20.5313	2	1	1290.66	265.178	1
20.5648	2	1	1292.2	264.079	1
20.5983	2	1	1293.58	263.228	1
20.6318	2	1	1295.9	262.509	1
20.6653	2	1	1296.68	262.735	1
20.6988	2	1	1296.51	263.067	1
20.7323	2	1	1295.64	260.89	1
20.7658	2	1	1294.28	259.742	1
20.7993	2	1	1293.17	259.901	1
20.8328	2	1	1292.38	259.966	1
20.8663	2	1	1291.43	260.183	1
20.8998	2	1	1287.33	260.413	1
20.9333	2	1	1281.09	259.406	1
20.9668	2	1	1275.55	256.674	1
21.0002	2	1	1266.98	254.715	1
21.0337	2	1	1258.7	252.435	1
21.0672	2	1	1251.08	248.109	1
21.1007	2	1	1248.39	244.768	1
21.1342	2	1	1245.69	240.411	1
21.1677	2	1	1241.09	236.51	1
21.2012	2	1	1238.51	235.605	1
21.2347	2	1	1235.98	235.464	1
21.2682	2	1	1233.35	236.933	1
21.3017	2	1	1231.15	238.471	1
21.3352	2	1	1228.86	240.41	1
21.3687	2	1	1226.3	243.285	1
21.4022	2	1	1222.64	247.372	1
21.4357	2	1	1217.76	252.129	1
21.4692	2	1	1212.72	257.285	1
21.5026	2	1	1209.28	262.547	1
21.5361	2	1	1206.98	267.942	1
21.5696	2	1	1205.44	273.857	1
21.6031	2	1	1203.5	280.936	1
21.6366	2	1	1200.21	286.557	1
21.6701	2	1	1196.23	290.539	1
21.7036	2	1	1191.28	294.717	1
21.7371	2	1	1185.86	298.85	1
21.7706	2	1	1179.92	302.565	1
21.8041	2	1	1172.81	305.901	1
21.8376	2	1	1167.3	309.873	1
21.8711	2	1	1163.15	313.941	1
21.9046	2	1	1159.99	318.2	1
21.9381	2	1	1157.1	323.289	1
21.9716	2	1	1153.72	328.614	1
22.005	2	1	1149.19	333.174	1
22.0385	2	1	1144.11	336.403	1
22.072	2	1	1137.61	339.648	1
22.1055	2	1	1131.26	342.132	1
22.139	2	1	1126.17	342.841	1
22.1725	2	1	1120.22	344.796	1
22.206	2	1	1113.64	348.507	1
22.2395	2	1	1107.69	352.771	1
22.273	2	1	1102.38	358.757	1
22.3065	2	1	1096.28	365.152	1
22.34	2	1	1091	367.784	1
22.3735	2	1	1083.38	369.846	1
22.407	2	1	1075.54	371.578	1
22.4405	2	1	1069.7	372.158	1
22.474	2	1	1063.73	372.362	1
22.5074	2	1	1059.68	373.84	1
22.5409	2	1	1055.92	375.383	1
22.5744	2	1	1053.36	377.055	1
22.6079	2	1	1050.95	379.771	1
22.6414	2	1	1049.22	383.342	1
22.6749	2	1	1047.04	386.423	1
22.7084	2	1	1045.81	387.862	1
22.7419	2	1	1043.85	389.081	1
22.7754	2	1	1042.91	388.552	1
22.8089	2	1	1042.33	388.217	1
22.8424	2	1	1041.7	388.501	1
22.8759	2	1	1040.79	390.095	1
22.9094	2	1	1039.47	392.531	1
22.9429	2	1	1037.92	395.921	1
22.9763	2	1	1036.24	398.437	1
23.0098	2	1	1034.54	400.397	1
23.0433	2	1	1033.15	402.64	1
23.0768	2	1	1031.53	405.452	1
23.1103	2	1	1029.46	407.238	1
23.1438	2	1	1028.4	410.199	1
23.1773	2	1	1027.84	415.606	1
23.2108	2	1	1027.86	421.986	1
23.2443	2	1	1028.13	428.11	1
